운행일자,상행하행구분코드,열차종별코드,운행구분코드,시발역코드,열차시발시각,종착역코드,열차종착시각,열차속성코드,주운행성코드,요일
2021-01-21,하,새마을,부정기,연무대,09:10:00,춘천,14:55:00,건설,호남선,목요일
2021-01-28,하,새마을,부정기,연무대,09:10:00,춘천,14:55:00,건설,호남선,목요일
2021-02-04,하,새마을,부정기,연무대,09:10:00,춘천,14:49:30,건설,호남선,목요일
2021-02-11,하,새마을,부정기,연무대,09:10:00,춘천,14:47:00,건설,호남선,목요일
2021-02-18,하,새마을,부정기,연무대,09:10:00,춘천,14:47:00,건설,호남선,목요일
2021-02-25,하,새마을,부정기,연무대,09:10:00,춘천,14:56:00,건설,호남선,목요일
2021-03-04,하,새마을,부정기,연무대,09:10:00,춘천,14:56:00,건설,호남선,목요일
2021-03-18,하,새마을,부정기,연무대,09:10:00,춘천,14:56:00,건설,호남선,목요일
2021-03-25,하,새마을,부정기,연무대,09:10:00,춘천,14:56:00,건설,호남선,목요일
2021-04-01,하,새마을,부정기,연무대,09:10:00,춘천,14:56:00,건설,호남선,목요일
2021-04-08,하,새마을,부정기,연무대,09:10:00,춘천,14:47:00,건설,호남선,목요일
2021-04-15,하,새마을,부정기,연무대,09:10:00,춘천,14:56:00,건설,호남선,목요일
2021-04-22,하,새마을,부정기,연무대,09:10:00,춘천,14:56:00,건설,호남선,목요일
2021-04-29,하,새마을,부정기,연무대,09:10:00,춘천,14:56:00,건설,호남선,목요일
2021-05-06,하,새마을,부정기,연무대,09:10:00,춘천,14:47:00,건설,호남선,목요일
2021-05-13,하,새마을,부정기,연무대,09:10:00,춘천,14:56:00,건설,호남선,목요일
2021-05-20,하,새마을,부정기,연무대,09:10:00,춘천,14:56:00,건설,호남선,목요일
2021-05-27,하,새마을,부정기,연무대,09:10:00,춘천,14:56:00,건설,호남선,목요일
2021-06-03,하,새마을,부정기,연무대,09:10:00,춘천,14:56:00,건설,호남선,목요일
2021-06-10,하,새마을,부정기,연무대,09:10:00,춘천,14:56:00,건설,호남선,목요일
2021-06-17,하,새마을,부정기,연무대,09:10:00,춘천,14:56:00,건설,호남선,목요일
2021-06-23,하,ITX-새마을,임시,퇴계원,09:20:00,연무대,13:40:00,일반,경부선,수요일
2021-06-24,하,새마을,부정기,연무대,09:10:00,춘천,14:56:00,건설,호남선,목요일
